origen,grupo,nombre,canal,cc,valor,mux
KEYBOARD,Keyboard Knobs,Keyboard Knob 01,1,180,33,0
SURFACE,SUB,Sub Shape,1,16,15,0
SURFACE,SUB,Sub Octave,1,17,63,0
SURFACE,SUB,Sub Osc Pan,1,18,25,0
SURFACE,SUB,Sub Osc Level,1,19,84,0
SURFACE,NOISE,Noise Phase,1,20,67,0
SURFACE,NOISE,Noise RandPhase,1,21,12,0
SURFACE,NOISE,Noise Pitch,1,22,0,0
SURFACE,NOISE,Noise Pan,1,23,0,0
SURFACE,NOISE,Noise Level,1,24,5,0
SURFACE,OSC A,OSC A Octave,1,26,8,1
SURFACE,OSC A,OSC A Semi,1,27,56,1
SURFACE,OSC A,OSC A Fine,1,28,2,1
SURFACE,OSC A,OSC A CoarsePit,1,29,24,1
SURFACE,OSC A,OSC A Unison,1,30,127,1
SURFACE,OSC A,OSC A UniDet,1,31,33,1
SURFACE,OSC A,OSC A Uniblend,1,32,15,1
SURFACE,OSC A,OSC A Phase,1,33,63,1
SURFACE,OSC A,OSC A RandPhase,1,34,25,1
SURFACE,OSC A,OSC A WTPos,1,35,84,1
SURFACE,OSC A,OSC A Warp,1,36,67,1
SURFACE,OSC A,OSC A Pan,1,37,12,1
SURFACE,OSC A,OSC A Vol,1,38,0,1
SURFACE,OSC B,OSC B Octave,1,42,0,2
SURFACE,OSC B,OSC B Semi,1,43,5,2
SURFACE,OSC B,OSC B Fine,1,44,8,2
SURFACE,OSC B,OSC B CoarsePit,1,45,56,2
SURFACE,OSC B,OSC B Unison,1,46,2,2
SURFACE,OSC B,OSC B UniDet,1,47,24,2
SURFACE,OSC B,OSC B UnitBlend,1,48,127,2
SURFACE,OSC B,OSC B Phase,1,49,33,2
SURFACE,OSC B,OSC B RandPhase,1,50,15,2
SURFACE,OSC B,OSC B WTPos,1,51,63,2
SURFACE,OSC B,OSC B Warp,1,52,25,2
SURFACE,OSC B,OSC B Pan,1,53,84,2
SURFACE,OSC B,OSC B Vol,1,54,67,2
SURFACE,MASTER,Master Volume,1,58,12,3
SURFACE,FILTER,Filter CutOff,1,59,0,3
SURFACE,FILTER,Filter Reso,1,60,0,3
SURFACE,FILTER,Filter Stereo,1,61,5,3
SURFACE,FILTER,Filter Driv,1,62,8,3
SURFACE,FILTER,Filter Var,1,63,56,3
SURFACE,FILTER,Filter Mix,1,64,2,3
SURFACE,PIANO,Piano Porta,1,65,24,3
SURFACE,PIANO,Piano Curve,1,66,127,3
SURFACE,ENV1,Env1 Atk,1,74,33,4
SURFACE,ENV1,Env1 Hold,1,75,15,4
SURFACE,ENV1,Env1 Dec,1,76,63,4
SURFACE,ENV1,Env1 Sus,1,77,25,4
SURFACE,ENV1,Env1 Rel,1,78,84,4
SURFACE,ENV2,Env2 Atk,1,79,67,4
SURFACE,ENV2,Env2 Hld,1,80,12,4
SURFACE,ENV2,Env2 Dec,1,81,0,4
SURFACE,ENV2,Env2 Sus,1,82,0,4
SURFACE,ENV2,Env2 Rel,1,83,5,4
SURFACE,ENV3,Env3 Atk,1,84,8,4
SURFACE,ENV3,Env3 Hld,1,85,56,4
SURFACE,ENV3,Env3 Dec,1,86,2,4
SURFACE,ENV3,Env3 Sus,1,87,24,4
SURFACE,ENV3,Env3 Rel,1,88,127,4
SURFACE,LFO 1,LFO1 Rate,1,90,33,5
SURFACE,LFO 1,LFO1 Rise,1,91,15,5
SURFACE,LFO 1,LFO1 Delay,1,92,63,5
SURFACE,LFO 1,LFO1 smooth,1,93,25,5
SURFACE,LFO2,LFO2 Rate,1,94,84,5
SURFACE,LFO2,LFO2 Rise,1,95,67,5
SURFACE,LFO2,LFO2 Delay,1,96,12,5
SURFACE,LFO2,LFO2 smooth,1,97,0,5
SURFACE,LFO3,LFO3 Rate,1,98,0,5
SURFACE,LFO3,LFO3 Rise,1,99,5,5
SURFACE,LFO3,LFO3 Delay,1,100,8,5
SURFACE,LFO3,LFO3 smooth,1,101,56,5
SURFACE,MOD,Macro 1,1,106,2,6
SURFACE,MOD,Macro 2,1,107,24,6
SURFACE,MOD,Macro 3,1,108,127,6
SURFACE,MOD,Macro 4,1,109,33,6
SURFACE,FREE,Macro 5,1,110,15,6
SURFACE,FREE,Macro 6,1,111,63,6
SURFACE,FREE,Macro 7,1,112,25,6
SURFACE,FREE,Macro 8,1,113,84,6
SURFACE,FX - Matrix,Macro 9,1,114,67,6
SURFACE,FX - Matrix,Macro 10,1,115,12,6
SURFACE,FX - Matrix,Macro 11,1,116,0,6
SURFACE,FX - Matrix,Macro 12,1,117,0,6
SURFACE,FX - Matrix,Macro 13,1,118,5,6
SURFACE,FX - Matrix,Macro 14,1,119,8,6
SURFACE,FX - Matrix,Macro 15,1,120,56,6
SURFACE,FX - Matrix,Macro 16,1,121,2,6
SURFACE,SUB,Sub On Switch,1,136,24,7
SURFACE,NOISE,Noise On Switch,1,137,127,7
SURFACE,OSC A,OSC A On Switch,1,138,33,7
SURFACE,OSC B,OSC B On Switch,1,139,15,7
SURFACE,FILTER,Filter On Switch,1,140,63,7
SURFACE,FILTER,OscA>Fill Switch,1,141,25,7
SURFACE,FILTER,OscB>Fill Switch,1,142,84,7
